timestamp,prev_state,prev_action,curr_state,curr_action,avg_lane_queueing_length,avg_lane_queueing_time,prev_avg_lane_queueing_length,prev_avg_lane_queueing_time,reward
1666331967,,,0,K,100.0,100.0,101.0,101.0,2
1666331967,0.0,K,0,I,8.93139751552795,19.6055900621118,100.0,100.0,2
1666331967,0.0,I,1,D,10.397654320987655,23.30617283950617,8.93139751552795,8.93139751552795,0
1666331967,1.0,D,0,K,9.529838709677415,21.510752688172044,10.397654320987655,10.397654320987655,1
1666331967,0.0,K,0,K,9.529838709677415,21.510752688172044,9.529838709677415,9.529838709677415,0
1666331968,0.0,K,0,I,8.93139751552795,19.6055900621118,9.529838709677415,9.529838709677415,1
1666331968,0.0,I,1,D,10.397654320987655,23.30617283950617,8.93139751552795,8.93139751552795,0
1666331968,1.0,D,0,K,8.93139751552795,19.6055900621118,10.397654320987655,10.397654320987655,1
1666331968,0.0,K,0,I,8.93139751552795,19.6055900621118,8.93139751552795,8.93139751552795,0
1666331968,0.0,I,1,K,9.729126506024096,18.75903614457832,8.93139751552795,8.93139751552795,0
1666331968,1.0,K,1,K,10.397654320987655,23.30617283950617,9.729126506024096,9.729126506024096,0
1666331969,1.0,K,1,K,10.397654320987655,23.30617283950617,10.397654320987655,10.397654320987655,0
1666331969,1.0,K,1,K,9.757212276214831,23.19181585677749,10.397654320987655,10.397654320987655,1
1666331969,1.0,K,1,I,10.305606407322657,25.36384439359268,9.757212276214831,9.757212276214831,0
1666331969,1.0,I,2,I,10.307487309644674,23.923857868020303,10.305606407322657,10.305606407322657,0
1666331969,2.0,I,3,K,10.954461538461542,19.93846153846154,10.307487309644674,10.307487309644674,0
1666331969,3.0,K,3,D,11.484986945169718,24.010443864229764,10.954461538461542,10.954461538461542,0
1666331969,3.0,D,2,I,9.467315789473684,23.605263157894736,11.484986945169718,11.484986945169718,1
1666331970,2.0,I,3,D,11.484986945169718,24.010443864229764,9.467315789473684,9.467315789473684,0
1666331970,3.0,D,2,D,9.467315789473684,23.605263157894736,11.484986945169718,11.484986945169718,1
1666331970,2.0,D,1,D,9.710567375886525,25.32624113475177,9.467315789473684,9.467315789473684,0
1666331970,1.0,D,0,K,9.0881598062954,26.544794188861985,9.710567375886525,9.710567375886525,1
1666331970,0.0,K,0,K,9.0881598062954,26.544794188861985,9.0881598062954,9.0881598062954,0
1666331970,0.0,K,0,K,9.083753280839897,24.31233595800525,9.0881598062954,9.0881598062954,1
1666331971,0.0,K,0,K,9.57007481296758,23.82044887780549,9.083753280839897,9.083753280839897,0
1666331971,0.0,K,0,K,10.125458612975391,26.002237136465325,9.57007481296758,9.57007481296758,0
1666331971,0.0,K,0,I,10.125458612975391,26.002237136465325,10.125458612975391,10.125458612975391,0
1666331971,0.0,I,1,D,11.244634581105176,31.91800356506239,10.125458612975391,10.125458612975391,0
1666331971,1.0,D,0,I,10.55803603603604,32.56936936936937,11.244634581105176,11.244634581105176,1
1666331971,0.0,I,1,K,11.678991735537195,34.315702479338846,10.55803603603604,10.55803603603604,0
1666331971,1.0,K,1,D,11.350452830188686,29.832075471698115,11.678991735537195,11.678991735537195,1
1666331972,1.0,D,0,K,10.714430107526884,25.96989247311828,11.350452830188686,11.350452830188686,1
1666331972,0.0,K,0,I,10.125458612975391,26.002237136465325,10.714430107526884,10.714430107526884,1
1666331972,0.0,I,1,K,10.900395604395609,25.356043956043955,10.125458612975391,10.125458612975391,0
1666331972,1.0,K,1,D,11.446480000000006,27.732,10.900395604395609,10.900395604395609,0
1666331972,1.0,D,0,I,10.201397590361449,23.91084337349397,11.446480000000006,11.446480000000006,1
1666331972,0.0,I,1,I,11.530233545647564,25.62845010615712,10.201397590361449,10.201397590361449,0
1666331973,1.0,I,2,K,11.503893805309744,26.608407079646017,11.530233545647564,11.530233545647564,1
1666331973,2.0,K,2,I,11.850406976744196,31.050387596899224,11.503893805309744,11.503893805309744,0
1666331973,2.0,I,3,K,13.606282306163036,32.009940357852884,11.850406976744196,11.850406976744196,0
1666331973,3.0,K,3,D,13.922096474953632,34.41743970315399,13.606282306163036,13.606282306163036,0
1666331973,3.0,D,2,D,12.75422807017545,34.126315789473686,13.922096474953632,13.922096474953632,1
1666331973,2.0,D,1,K,12.711864686468658,32.93894389438944,12.75422807017545,12.75422807017545,1
1666331974,1.0,K,1,D,12.572154088050326,34.91509433962264,12.711864686468658,12.711864686468658,1
1666331974,1.0,D,0,I,12.101450000000009,33.175,12.572154088050326,12.572154088050326,1
1666331974,0.0,I,1,D,12.146516129032268,34.590322580645164,12.101450000000009,12.101450000000009,0
1666331974,1.0,D,0,K,11.905720789074362,37.41274658573597,12.146516129032268,12.146516129032268,1
1666331974,0.0,K,0,I,12.203432624113484,39.737588652482266,11.905720789074362,11.905720789074362,0
1666331974,0.0,I,1,D,12.463744360902266,36.99398496240602,12.203432624113484,12.203432624113484,0
1666331975,1.0,D,0,I,11.61678632478633,32.85470085470085,12.463744360902266,12.463744360902266,1
1666331975,0.0,I,1,K,11.913216911764714,30.185661764705884,11.61678632478633,11.61678632478633,0
1666331975,1.0,K,1,K,11.913216911764714,30.185661764705884,11.913216911764714,11.913216911764714,0
1666331975,1.0,K,1,D,11.913216911764714,30.185661764705884,11.913216911764714,11.913216911764714,0
1666331975,1.0,D,0,I,11.85270992366413,28.759541984732824,11.913216911764714,11.913216911764714,1
1666331975,0.0,I,1,I,12.572154088050326,34.91509433962264,11.85270992366413,11.85270992366413,0
1666331976,1.0,I,2,I,12.75422807017545,34.126315789473686,12.572154088050326,12.572154088050326,0
1666331976,2.0,I,3,K,13.45881453154877,33.73996175908222,12.75422807017545,12.75422807017545,0
1666331976,3.0,K,3,K,13.772826475849746,36.128801431127016,13.45881453154877,13.45881453154877,0
1666331976,3.0,K,3,K,13.922096474953632,34.41743970315399,13.772826475849746,13.772826475849746,0
1666331976,3.0,K,3,D,14.223101045296184,36.89198606271777,13.922096474953632,13.922096474953632,0
1666331977,3.0,D,2,D,12.75422807017545,34.126315789473686,14.223101045296184,14.223101045296184,1
1666331977,2.0,D,1,D,12.268372881355942,32.54406779661017,12.75422807017545,12.75422807017545,1
1666331977,1.0,D,0,I,11.989476190476198,35.24603174603175,12.268372881355942,12.268372881355942,1
1666331977,0.0,I,1,K,12.572154088050326,34.91509433962264,11.989476190476198,11.989476190476198,0
1666331977,1.0,K,1,I,12.146516129032268,34.590322580645164,12.572154088050326,12.572154088050326,1
1666331977,1.0,I,2,I,12.141381692573413,35.56476683937824,12.146516129032268,12.146516129032268,1
1666331977,2.0,I,3,D,13.63386873920554,37.894645941278064,12.141381692573413,12.141381692573413,0
1666331978,3.0,D,2,K,12.011357615894047,37.561258278145694,13.63386873920554,13.63386873920554,1
1666331978,2.0,K,2,D,12.141381692573413,35.56476683937824,12.011357615894047,12.011357615894047,0
1666331978,2.0,D,1,K,12.054453004622506,36.73497688751926,12.141381692573413,12.141381692573413,1
1666331978,1.0,K,1,I,11.779634782608705,32.20173913043478,12.054453004622506,12.054453004622506,1
1666331978,1.0,I,2,D,12.141381692573413,35.56476683937824,11.779634782608705,11.779634782608705,0
1666331978,2.0,D,1,I,12.463744360902266,36.99398496240602,12.141381692573413,12.141381692573413,0
1666331979,1.0,I,2,I,12.596487394957997,36.003361344537815,12.463744360902266,12.463744360902266,0
1666331979,2.0,I,3,K,13.931693811074933,40.33550488599349,12.596487394957997,12.596487394957997,0
1666331979,3.0,K,3,I,13.821579778830976,42.19747235387046,13.931693811074933,13.931693811074933,1
1666331979,3.0,I,4,I,13.430476190476208,43.552721088435376,13.821579778830976,13.821579778830976,1
1666331979,4.0,I,5,I,17.519830508474605,38.91525423728814,13.430476190476208,13.430476190476208,0
1666331979,5.0,I,6,K,21.17700000000004,33.69375,17.519830508474605,17.519830508474605,0
1666331980,6.0,K,6,K,20.76180921052635,31.50328947368421,21.17700000000004,21.17700000000004,1
1666331980,6.0,K,6,D,20.160482758620724,29.127586206896552,20.76180921052635,20.76180921052635,1
1666331980,6.0,D,5,D,15.73500000000002,29.31736526946108,20.160482758620724,20.160482758620724,1
1666331980,5.0,D,4,D,11.50523178807948,33.154525386313466,15.73500000000002,15.73500000000002,1
1666331980,4.0,D,3,I,12.73109689213895,36.93967093235832,11.50523178807948,11.50523178807948,0
1666331980,3.0,I,4,D,12.098056603773598,39.450943396226414,12.73109689213895,12.73109689213895,1
1666331981,4.0,D,3,D,12.62594356261024,38.89065255731922,12.098056603773598,12.098056603773598,0
1666331981,3.0,D,2,K,11.312203125000009,41.4015625,12.62594356261024,12.62594356261024,1
1666331981,2.0,K,2,I,10.822300319488823,41.24121405750799,11.312203125000009,11.312203125000009,1
1666331981,2.0,I,3,I,12.370463258785952,45.02555910543131,10.822300319488823,10.822300319488823,0
1666331981,3.0,I,4,K,10.861345029239777,40.36842105263158,12.370463258785952,12.370463258785952,1
1666331981,4.0,K,4,K,10.504946695095956,36.15991471215352,10.861345029239777,10.861345029239777,1
1666331982,4.0,K,4,I,9.935840909090912,33.85,10.504946695095956,10.504946695095956,1
1666331982,4.0,I,5,I,14.055737179487195,28.724358974358974,9.935840909090912,9.935840909090912,0
