timestamp,curr_state,curr_action,next_state,g
1666331967,0,K,0,20
1666331967,0,I,1,25
1666331967,1,K,1,25
1666331967,1,K,1,25
1666331967,1,D,0,20
1666331968,0,I,1,25
1666331968,1,D,0,20
1666331968,0,K,0,20
1666331968,0,K,0,20
1666331968,0,I,1,25
1666331968,1,K,1,25
1666331969,1,D,0,20
1666331969,0,I,1,25
1666331969,1,K,1,25
1666331969,1,D,0,20
1666331969,0,I,1,25
1666331969,1,D,0,20
1666331969,0,I,1,25
1666331970,1,D,0,20
1666331970,0,K,0,20
1666331970,0,K,0,20
1666331970,0,K,0,20
1666331970,0,K,0,20
1666331970,0,I,1,25
1666331971,1,I,2,30
1666331971,2,K,2,30
1666331971,2,I,3,35
1666331971,3,K,3,35
1666331971,3,I,4,40
1666331971,4,D,3,35
1666331971,3,K,3,35
1666331972,3,D,2,30
1666331972,2,K,2,30
1666331972,2,I,3,35
1666331972,3,D,2,30
1666331972,2,I,3,35
1666331972,3,K,3,35
1666331973,3,I,4,40
1666331973,4,I,5,45
1666331973,5,I,6,50
1666331973,6,K,6,50
1666331973,6,K,6,50
1666331973,6,K,6,50
1666331974,6,K,6,50
1666331974,6,D,5,45
1666331974,5,I,6,50
1666331974,6,I,7,55
1666331974,7,D,6,50
1666331974,6,D,5,45
1666331975,5,D,4,40
1666331975,4,K,4,40
1666331975,4,K,4,40
1666331975,4,I,5,45
1666331975,5,I,6,50
1666331975,6,K,6,50
1666331976,6,D,5,45
1666331976,5,I,6,50
1666331976,6,K,6,50
1666331976,6,I,7,55
1666331976,7,D,6,50
1666331977,6,D,5,45
1666331977,5,I,6,50
1666331977,6,K,6,50
1666331977,6,D,5,45
1666331977,5,K,5,45
1666331977,5,I,6,50
1666331978,6,D,5,45
1666331978,5,K,5,45
1666331978,5,K,5,45
1666331978,5,D,4,40
1666331978,4,I,5,45
1666331978,5,I,6,50
1666331979,6,K,6,50
1666331979,6,I,7,55
1666331979,7,K,7,55
1666331979,7,I,8,60
1666331979,8,K,8,60
1666331979,8,D,7,55
1666331979,7,D,6,50
1666331980,6,D,5,45
1666331980,5,D,4,40
1666331980,4,D,3,35
1666331980,3,I,4,40
1666331980,4,I,5,45
1666331980,5,D,4,40
1666331981,4,K,4,40
1666331981,4,D,3,35
1666331981,3,I,4,40
1666331981,4,D,3,35
1666331981,3,D,2,30
1666331981,2,D,1,25
1666331982,1,I,2,30
