timestamp,prev_state,prev_action,curr_state,curr_action,avg_lane_queueing_length,avg_lane_queueing_time,prev_avg_lane_queueing_length,prev_avg_lane_queueing_time,reward
1666333406,,,0,K,100.0,100.0,101.0,101.0,2
1666333409,0.0,K,0,I,244.8989662159709,62.81313782559039,100.0,100.0,1
1666333412,0.0,I,1,K,222.90519572818,59.823388567953785,244.8989662159709,244.8989662159709,2
1666333416,1.0,K,1,D,231.81500941837177,61.14427401683773,222.90519572818,222.90519572818,1
1666333420,1.0,D,0,K,265.34267889587227,72.59744933612858,231.81500941837177,231.81500941837177,1
1666333423,0.0,K,0,K,256.16731198325067,65.01798028667365,265.34267889587227,265.34267889587227,2
1666333427,0.0,K,0,K,273.18101356798127,76.843632455669,256.16731198325067,256.16731198325067,1
1666333431,0.0,K,0,K,256.16731198325067,65.01798028667365,273.18101356798127,273.18101356798127,2
1666333435,0.0,K,0,I,270.7567922256597,80.64007567939457,256.16731198325067,256.16731198325067,1
